分析步骤,字段,值
"各地区销售总览","地区","华东"
"各地区销售总览","销售额（元）","107373"
"各地区销售总览","销量（件）","235"
"各地区销售总览","订单数","44"
"各地区销售总览","地区","华南"
"各地区销售总览","销售额（元）","70202"
"各地区销售总览","销量（件）","132"
"各地区销售总览","订单数","26"
"各地区销售总览","地区","华北"
"各地区销售总览","销售额（元）","41099.5"
"各地区销售总览","销量（件）","82"
"各地区销售总览","订单数","19"
"各地区销售总览","地区","西南"
"各地区销售总览","销售额（元）","31528"
"各地区销售总览","销量（件）","90"
"各地区销售总览","订单数","14"
"各地区销售总览","地区","华中"
"各地区销售总览","销售额（元）","28957"
"各地区销售总览","销量（件）","83"
"各地区销售总览","订单数","12"
"整体品类贡献排名","品类","手机数码"
"整体品类贡献排名","销售额","194771"
"整体品类贡献排名","销量","29"
"整体品类贡献排名","销售额占比","0.6977050754138763"
"整体品类贡献排名","品类","家用电器"
"整体品类贡献排名","销售额","60788"
"整体品类贡献排名","销量","19"
"整体品类贡献排名","销售额占比","0.21775364979518877"
"整体品类贡献排名","品类","鞋靴"
"整体品类贡献排名","销售额","13188"
"整体品类贡献排名","销量","12"
"整体品类贡献排名","销售额占比","0.047241809789743856"
"整体品类贡献排名","品类","服饰"
"整体品类贡献排名","销售额","6683"
"整体品类贡献排名","销量","18"
"整体品类贡献排名","销售额占比","0.023939719049503958"
"整体品类贡献排名","品类","食品饮料"
"整体品类贡献排名","销售额","2490"
"整体品类贡献排名","销量","246"
"整体品类贡献排名","销售额占比","0.008919631966671383"
"整体品类贡献排名","品类","休闲零食"
"整体品类贡献排名","销售额","1239.5"
"整体品类贡献排名","销量","298"
"整体品类贡献排名","销售额占比","0.004440113985015735"
"各地区头部品类","地区","华东"
"各地区头部品类","品类","手机数码"
"各地区头部品类","销售额","78688"
"各地区头部品类","占比","0.7328471775958574"
"各地区头部品类","地区","华中"
"各地区头部品类","品类","手机数码"
"各地区头部品类","销售额","16498"
"各地区头部品类","占比","0.5697413406084885"
"各地区头部品类","地区","华北"
"各地区头部品类","品类","手机数码"
"各地区头部品类","销售额","26896"
"各地区头部品类","占比","0.6544118541588098"
"各地区头部品类","地区","华南"
"各地区头部品类","品类","手机数码"
"各地区头部品类","销售额","51893"
"各地区头部品类","占比","0.7391954645166804"
"各地区头部品类","地区","西南"
"各地区头部品类","品类","手机数码"
"各地区头部品类","销售额","20796"
"各地区头部品类","占比","0.6596041613803603"
"各地区月度异常月份","地区","华南"
"各地区月度异常月份","月份","2"
"各地区月度异常月份","偏差率","401.73784222671713"
"各地区月度异常月份","地区","华东"
"各地区月度异常月份","月份","3"
"各地区月度异常月份","偏差率","390.93569111379685"
"各地区月度异常月份","地区","西南"
"各地区月度异常月份","月份","2"
"各地区月度异常月份","偏差率","577.4168992641461"
"各地区月度异常月份","地区","华北"
"各地区月度异常月份","月份","3"
"各地区月度异常月份","偏差率","724.8567500821177"
"各地区月度异常月份","地区","华东"
"各地区月度异常月份","月份","1"
"各地区月度异常月份","偏差率","659.9003487792725"
"各地区月度异常月份","地区","华中"
"各地区月度异常月份","月份","1"
"各地区月度异常月份","偏差率","372.3003073522809"
